"id","name","address","phone","logo"
1,Affiliato Tecnocasa: IMMOBILI COMMERCIALI TUSCOLANO SRLS,"Via Tuscolana, 645 B, 00174 - Roma","['0676967771', '0687777600']",https://cdn.trovacasa.it/agenzie/logo/20442_300.gif?mcimgv=2271
2,TUA RE,"Via Virgilio, 12, 00193 - Roma",['0669336543'],https://cdn.trovacasa.it/agenzie/logo/77532_300.gif?mcimgv=2277
3,ROMA IMMOBILI,"Via Lamberto da Fagnano, 20, 00165 - Roma","['0693379894', '3452550426']",https://cdn.trovacasa.it/agenzie/logo/37185_300.gif?mcimgv=2283
4,Balduina Immobiliare,"via casal selce, 383h, 00166 - Roma","['0661905631', '0679786066']",https://cdn.trovacasa.it/agenzie/logo/25202_300.gif?mcimgv=2110
5,Affiliato Toscano - Agenzia di Roma Ostia Ponente,"Via Carlo Bosio, 96, 00121 - Roma",['065613404'],https://cdn.trovacasa.it/agenzie/logo/47814_300.gif?mcimgv=2334
6,Homeplace Group,"Via Casilina, 1030, 00169 - Roma","['0662203400', '3929122920']",https://cdn.trovacasa.it/agenzie/logo/69963_300.gif?mcimgv=2426
7,Affiliato Tecnocasa: CASTELVERDE VILLAGGIO PRENESTINO SRL,"Via Massa di San Giuliano, 270, 00132 - Roma","['062263250', '0622485827']",https://cdn.trovacasa.it/agenzie/logo/31599_300.gif?mcimgv=2123
8,PALESS IMMOBILIARE SRL,"Viale Pasteur, n.66, 00144 - Roma",['0680078772'],https://cdn.trovacasa.it/agenzie/logo/78642_300.gif?mcimgv=2175
9,IMMOBILIARE MARELLA SRL,"Via Di Selva Candida, 49, 00166 - Roma","['0661560004', '0661560000']",https://cdn.trovacasa.it/agenzie/logo/7581_300.gif?mcimgv=2118
10,Toscano SpA - Agenzia di Roma Ostia,"Viale Vasco De Gama, 12/14, 00121 - Roma",['0656338022'],https://cdn.trovacasa.it/agenzie/logo/30441_300.gif?mcimgv=2401
11,Affiliato Tecnocasa: IMMOBILI COMMERCIALI BOCCEA SRL,"Circ. Cornelia, 31, 00165 - Roma",['0687979065'],https://cdn.trovacasa.it/agenzie/logo/74303_300.gif?mcimgv=2335
12,Centro Agenti Immobiliari srls,"Via Giovanni Nicotera, 29, 00195 - Roma",['0683520688'],https://cdn.trovacasa.it/agenzie/logo/49857_300.gif?mcimgv=2246
13,Alpha Immobiliare Srl,"Piazza di San Cosimato 67,  - Roma",['0658331153'],https://cdn.trovacasa.it/agenzie/logo/9293_300.gif?mcimgv=2346
14,Holding Property Solutions,"via Gregorio VII, 172, 00165 - Roma",['3517280727'],https://cdn.trovacasa.it/agenzie/logo/84481_300.gif?mcimgv=2158
15,Affitti Sicuri,"Via Arturo Graf, 4, 00137 - Roma",['065812911'],https://cdn.trovacasa.it/agenzie/logo/9202_300.gif?mcimgv=2208
16,Immobiliare Cannavale S.r.l.,"Viale Prassilla, 41, 00124 - Roma","['0650916231', '0650912488']",https://cdn.trovacasa.it/agenzie/logo/64431_300.gif?mcimgv=2165
17,Affiliato Toscano - Agenzia di Roma Infernetto,"Via Cilea, 15D, 00124 - Roma",['0650918028'],https://cdn.trovacasa.it/agenzie/logo/37190_300.gif?mcimgv=2426
18,Affiliato Tecnocasa: IMMOBILI COMMERCIALI JONIO SRL,"Viale Val Padana, 78/80, 00141 - Roma",['0669270124'],https://cdn.trovacasa.it/agenzie/logo/90321_300.gif?mcimgv=2242
19,Frimm Montesacro,"Via Val d'Ossola n.118, 00141 - Roma","['0689537675', '3298522627']",https://cdn.trovacasa.it/agenzie/logo/38136_300.gif?mcimgv=2266
20,AREACASA,",  - Roma","['3513433225', '3461198293']",https://cdn.trovacasa.it/agenzie/logo/90092_300.gif?mcimgv=2257
